Country,RegionCode,Month,MonthlyCases
USA,US_ID,2020-11,37090.0
USA,US_ID,2020-12,39379.0
USA,US_ID,2021-01,21606.0
USA,US_ID,2021-02,8457.0
USA,US_ID,2021-03,9396.0
USA,US_ID,2021-04,7120.0
USA,US_ID,2021-05,4356.0
USA,US_ID,2021-06,2986.0
USA,US_ID,2021-07,5486.0
USA,US_ID,2021-08,20905.0
USA,US_ID,2021-09,35933.0
USA,US_ID,2021-10,33994.0
USA,US_ID,2021-11,15529.0
USA,US_ID,2021-12,4305.0
USA,US_IL,2020-01,0.0
USA,US_IL,2020-02,0.0
USA,US_IL,2020-03,5992.0
USA,US_IL,2020-04,46924.0
USA,US_IL,2020-05,67342.0
USA,US_IL,2020-06,22925.0
USA,US_IL,2020-07,36930.0
USA,US_IL,2020-08,56609.0
USA,US_IL,2020-09,58996.0
USA,US_IL,2020-10,120827.0
USA,US_IL,2020-11,309757.0
USA,US_IL,2020-12,237085.0
USA,US_IL,2021-01,162912.0
USA,US_IL,2021-02,60395.0
USA,US_IL,2021-03,57889.0
USA,US_IL,2021-04,90470.0
USA,US_IL,2021-05,47131.0
USA,US_IL,2021-06,9553.0
USA,US_IL,2021-07,27872.0
USA,US_IL,2021-08,103331.0
USA,US_IL,2021-09,104566.0
USA,US_IL,2021-10,68016.0
USA,US_IL,2021-11,114351.0
USA,US_IL,2021-12,67338.0
USA,US_IN,2020-01,0.0
USA,US_IN,2020-02,0.0
USA,US_IN,2020-03,2158.0
USA,US_IN,2020-04,15677.0
USA,US_IN,2020-05,16739.0
USA,US_IN,2020-06,11020.0
USA,US_IN,2020-07,20560.0
USA,US_IN,2020-08,28042.0
USA,US_IN,2020-09,25823.0
USA,US_IN,2020-10,59339.0
USA,US_IN,2020-11,159619.0
USA,US_IN,2020-12,172508.0
USA,US_IN,2021-01,115197.0
USA,US_IN,2021-02,34991.0
USA,US_IN,2021-03,24824.0
USA,US_IN,2021-04,33928.0
USA,US_IN,2021-05,23271.0
USA,US_IN,2021-06,10231.0
USA,US_IN,2021-07,17372.0
USA,US_IN,2021-08,87267.0
USA,US_IN,2021-09,105881.0
USA,US_IN,2021-10,60335.0
USA,US_IN,2021-11,76403.0
USA,US_IN,2021-12,44448.0
USA,US_LA,2020-01,0.0
USA,US_LA,2020-02,0.0
USA,US_LA,2020-03,5237.0
USA,US_LA,2020-04,22764.0
USA,US_LA,2020-05,11915.0
USA,US_LA,2020-06,18179.0
USA,US_LA,2020-07,58185.0
USA,US_LA,2020-08,32614.0
USA,US_LA,2020-09,18564.0
USA,US_LA,2020-10,19191.0
USA,US_LA,2020-11,45765.0
USA,US_LA,2020-12,82861.0
USA,US_LA,2021-01,85351.0
USA,US_LA,2021-02,29474.0
USA,US_LA,2021-03,14833.0
USA,US_LA,2021-04,13648.0
USA,US_LA,2021-05,12104.0
USA,US_LA,2021-06,10782.0
USA,US_LA,2021-07,60212.0
USA,US_LA,2021-08,138117.0
USA,US_LA,2021-09,60737.0
USA,US_LA,2021-10,17938.0
USA,US_LA,2021-11,12423.0
USA,US_LA,2021-12,4474.0
USA,US_MA,2020-01,0.0
USA,US_MA,2020-02,1.0
USA,US_MA,2020-03,9922.0
USA,US_MA,2020-04,56943.0
USA,US_MA,2020-05,30393.0
USA,US_MA,2020-06,7180.0
USA,US_MA,2020-07,7396.0
USA,US_MA,2020-08,9182.0
USA,US_MA,2020-09,11098.0
USA,US_MA,2020-10,26460.0
USA,US_MA,2020-11,67556.0
USA,US_MA,2020-12,149046.0
USA,US_MA,2021-01,148847.0
USA,US_MA,2021-02,57123.0
USA,US_MA,2021-03,54432.0
USA,US_MA,2021-04,53393.0
USA,US_MA,2021-05,17972.0
USA,US_MA,2021-06,3021.0
USA,US_MA,2021-07,9814.0
USA,US_MA,2021-08,40089.0
USA,US_MA,2021-09,52082.0
USA,US_MA,2021-10,39971.0
USA,US_MA,2021-11,67175.0
USA,US_MA,2021-12,44826.0
USA,US_MD,2020-01,0.0
USA,US_MD,2020-02,0.0
USA,US_MD,2020-03,1660.0
USA,US_MD,2020-04,20082.0
USA,US_MD,2020-05,31036.0
USA,US_MD,2020-06,14781.0
USA,US_MD,2020-07,20787.0
USA,US_MD,2020-08,19903.0
USA,US_MD,2020-09,16476.0
USA,US_MD,2020-10,20556.0
USA,US_MD,2020-11,53089.0
USA,US_MD,2020-12,78292.0
USA,US_MD,2021-01,77811.0
USA,US_MD,2021-02,27626.0
USA,US_MD,2021-03,29245.0
USA,US_MD,2021-04,36057.0
USA,US_MD,2021-05,12493.0
USA,US_MD,2021-06,2385.0
USA,US_MD,2021-07,6269.0
USA,US_MD,2021-08,28454.0
USA,US_MD,2021-09,35338.0
USA,US_MD,2021-10,28930.0
USA,US_MD,2021-11,24873.0
USA,US_MD,2021-12,6536.0
USA,US_MI,2020-01,0.0
USA,US_MI,2020-02,0.0
USA,US_MI,2020-03,7951.0
USA,US_MI,2020-04,35527.0
USA,US_MI,2020-05,19233.0
USA,US_MI,2020-06,8017.0
USA,US_MI,2020-07,19846.0
USA,US_MI,2020-08,22451.0
USA,US_MI,2020-09,24989.0
USA,US_MI,2020-10,59392.0
USA,US_MI,2020-11,191536.0
USA,US_MI,2020-12,139679.0
USA,US_MI,2021-01,81517.0
USA,US_MI,2021-02,35412.0
USA,US_MI,2021-03,100801.0
USA,US_MI,2021-04,190116.0
USA,US_MI,2021-05,55474.0
USA,US_MI,2021-06,8078.0
USA,US_MI,2021-07,11087.0
USA,US_MI,2021-08,49237.0
USA,US_MI,2021-09,89721.0
USA,US_MI,2021-10,125039.0
USA,US_MI,2021-11,199950.0
USA,US_MI,2021-12,78737.0
USA,US_MN,2020-01,0.0
USA,US_MN,2020-02,0.0
USA,US_MN,2020-03,629.0
USA,US_MN,2020-04,4507.0
USA,US_MN,2020-05,19714.0
USA,US_MN,2020-06,11453.0
USA,US_MN,2020-07,18160.0
USA,US_MN,2020-08,21401.0
USA,US_MN,2020-09,23270.0
USA,US_MN,2020-10,49338.0
USA,US_MN,2020-11,170291.0
USA,US_MN,2020-12,96539.0
USA,US_MN,2021-01,46505.0
USA,US_MN,2021-02,22787.0
USA,US_MN,2021-03,34935.0
USA,US_MN,2021-04,56283.0
USA,US_MN,2021-05,25572.0
USA,US_MN,2021-06,3981.0
USA,US_MN,2021-07,7336.0
USA,US_MN,2021-08,37263.0
USA,US_MN,2021-09,61130.0
USA,US_MN,2021-10,76456.0
USA,US_MN,2021-11,124820.0
USA,US_MN,2021-12,39862.0
USA,US_MO,2020-01,0.0
USA,US_MO,2020-02,0.0
USA,US_MO,2020-03,1674.0
USA,US_MO,2020-04,6417.0
USA,US_MO,2020-05,5469.0
USA,US_MO,2020-06,8654.0
USA,US_MO,2020-07,29366.0
USA,US_MO,2020-08,35596.0
USA,US_MO,2020-09,43309.0
USA,US_MO,2020-10,62667.0
USA,US_MO,2020-11,128806.0
USA,US_MO,2020-12,118798.0
USA,US_MO,2021-01,91991.0
USA,US_MO,2021-02,30173.0
USA,US_MO,2021-03,18760.0
USA,US_MO,2021-04,9957.0
USA,US_MO,2021-05,14852.0
USA,US_MO,2021-06,19307.0
USA,US_MO,2021-07,60751.0
USA,US_MO,2021-08,77252.0
USA,US_MO,2021-09,61809.0
USA,US_MO,2021-10,34685.0
USA,US_MO,2021-11,51110.0
USA,US_MO,2021-12,27842.0
USA,US_MS,2020-01,0.0
USA,US_MS,2020-02,0.0
USA,US_MS,2020-03,937.0
USA,US_MS,2020-04,5878.0
USA,US_MS,2020-05,8708.0
USA,US_MS,2020-06,11724.0
USA,US_MS,2020-07,31500.0
USA,US_MS,2020-08,24203.0
USA,US_MS,2020-09,15240.0
USA,US_MS,2020-10,21970.0
USA,US_MS,2020-11,33110.0
USA,US_MS,2020-12,62541.0
USA,US_MS,2021-01,59190.0
USA,US_MS,2021-02,19794.0
USA,US_MS,2021-03,10351.0
USA,US_MS,2021-04,6754.0
USA,US_MS,2021-05,5813.0
USA,US_MS,2021-06,4051.0
USA,US_MS,2021-07,21741.0
USA,US_MS,2021-08,93217.0
USA,US_MS,2021-09,51672.0
USA,US_MS,2021-10,15924.0
USA,US_MS,2021-11,9853.0
USA,US_MS,2021-12,4499.0
USA,US_NC,2020-01,0.0
USA,US_NC,2020-02,0.0
USA,US_NC,2020-03,1578.0
USA,US_NC,2020-04,9542.0
USA,US_NC,2020-05,18394.0
USA,US_NC,2020-06,37712.0
USA,US_NC,2020-07,58452.0
